#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200402   13:49:55      3    26    34    32     0     0     0     0   877   135     0     0    80     4     0     0     0     0     0
 20200402   13:50:05      3    26    34    32     0     0     0     0   877   135     0     0    80     4     0     0     0     0     0
 20200402   13:50:15      3    37    35    32    18     0     0     0   877  1230   100     0  2483     8     0     0     0    24    12
 20200402   13:50:25      3    42    36    33     0     0     0     0   877  1380     0     0  2493     8     0     0     0     0     0
 20200402   13:50:35      3    37    35    33    17     0     0     0   877  1230     0     0  2493     8     0     0     0    23    11
 20200402   13:50:45      3    42    36    33    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:50:55      3    42    36    33    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:51:05      3    42    36    33    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:51:15      3    37    36    34    17     0     0     0   877  1230     0     0  2493     8     0     0     0    23    11
 20200402   13:51:25      3    37    36    33    17     0     0     0   877  1230     0     0  2493     8     0     0     0    24    11
 20200402   13:51:35      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:51:46      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:51:56      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:52:06      3    37    37    34    17     0     0     0   877  1230     0     0  2493     8     0     0     0    23    11
 20200402   13:52:16      3    42    37    34     0     0     0     0   877  1380     0     0  2493     8     0     0     0     0     0
 20200402   13:52:26      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:52:36      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:52:46      3    43    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:52:56      3    37    37    34    17     0     0     0   877  1230     0     0  2493     8     0     0     0    23    11
 20200402   13:53:06      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:53:16      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:53:26      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:53:36      3    43    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    24    11
 20200402   13:53:46      3    37    37    34    17     0     0     0   877  1230     0     0  2493     8     0     0     0    23    11
 20200402   13:53:56      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:54:06      3    42    37    34     0     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:54:17      3    42    37    34    16     0     0     0   877  1380     0     0  2493     8     0     0     0    23    11
 20200402   13:54:27      3    38    37    34    18     0     0     0   877  1230     0     0  2471     8     0     0     0    24    12
 20200402   13:54:37      3    39    37    34    21     0     0     0   877  1230     0     0  2481     8     0     0     0   125    19
 20200402   13:54:47      3    43    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:54:57      3    43    37    35    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:55:07      3    43    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:55:17      3    38    37    34    17     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:55:27      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:55:37      3    43    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:55:47      3    43    37    34    15     0     0     0   877  1380     0     0  2481     8     0     0     0    22    11
 20200402   13:55:57      3    49    38    34    88     2     0     0   877  1380     0     0  2481     8     0     0     0   121    23
 20200402   13:56:07      3    37    37    34    17     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:56:17      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:56:27      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:56:37      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:56:48      3    38    37    34    16     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:56:58      3    38    37    34    17     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:57:08      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200402   13:57:18      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:57:28      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:57:38      3    37    37    34    17     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:57:48      3    64    37    34    88     2     0     0   877  1380     0     0  2481     8     0     0     0   113     6
 20200402   13:57:58      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:58:08      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:58:18      3    42    37    34    16     0     0     0   877  1380     0     0  2481     8     0     0     0    23    11
 20200402   13:58:28      3    37    37    34    17     0     0     0   877  1230     0     0  2481     8     0     0     0    23    11
 20200402   13:58:38      3    42    37    34    17     0     0     0   877  1380     0     0  2459     8     0     0     0    24    12
 20200402   13:58:48      3    42    37    34    17     0     0     0   877  1380     0     0  2459     8     0     0     0    25    12
 20200402   13:58:58      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   13:59:08      3    42    37    34     0     0     0     0   877  1380     0     0  2469     8     0     0     0     0     0
 20200402   13:59:18      3    38    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   13:59:29      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   13:59:39      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    24    11
 20200402   13:59:49      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   13:59:59      3    38    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   14:00:09      3    37    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   14:00:19      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:00:29      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:00:39      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:00:49      3    38    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   14:00:59      3    67    37    34    91     2     0     0   877  1380     0     0  2469     8     0     0     0   123    13
 20200402   14:01:09      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    22    11
 20200402   14:01:19      3    42    37    34    15     0     0     0   877  1380     0     0  2469     8     0     0     0    22    11
 20200402   14:01:29      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:01:39      3    37    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   14:01:49      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:01:59      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:02:10      3    42    37    34    15     0     0     0   877  1380     0     0  2469     8     0     0     0    22    11
 20200402   14:02:20      3    42    37    34     0     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:02:30      3    37    37    34    17     0     0     0   877  1230     0     0  2469     8     0     0     0    23    11
 20200402   14:02:40      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
 20200402   14:02:50      3    42    37    34    16     0     0     0   877  1380     0     0  2469     8     0     0     0    23    11
