#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200405   14:44:24      0    27    34    32     0     0     0     0   877   135     0     0    16     4     0     0     0     0     0
 20200405   14:44:34      0    27    34    32     0     0     0     0   877   135   100     0    16     4     0     0     0     0     0
 20200405   14:44:44      0    27    34    32     0     0     0     0   877   135   100     0    16     4     0     0     0     0     0
 20200405   14:44:54      0    27    34    32     0     0     0     0   877   135   100     0    16     4     0     0     0     0     0
 20200405   14:45:04      0    41    35    32    76     0     0     0   877  1380   100     0  2141     8     0     0     0    26     6
 20200405   14:45:14      0    41    35    33    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:45:24      0    41    35    33    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:45:34      0    41    35    33    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:45:44      0    41    36    33    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:45:54      0    41    36    33    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:46:04      0    41    36    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:46:14      0    41    36    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25    11
 20200405   14:46:24      0    41    36    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    29     9
 20200405   14:46:34      0    41    36    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     9
 20200405   14:46:44      0    41    36    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:46:55      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:47:05      0    41    37    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    13
 20200405   14:47:15      0    41    37    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    13
 20200405   14:47:25      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   14:47:35      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   14:47:45      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:47:55      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:48:05      0    41    37    34    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:48:15      0    41    37    34    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:48:25      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:48:35      0    41    37    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:48:45      0    42    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:48:55      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:05      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:15      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:25      0    42    37    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:35      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:45      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:49:55      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:50:06      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:50:16      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:50:26      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:50:36      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:50:46      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:50:56      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:51:06      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:51:16      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:51:26      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:51:36      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    14
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200405   14:51:46      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   14:51:56      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    31     6
 20200405   14:52:06      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    29     6
 20200405   14:52:16      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:52:26      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:52:36      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:52:46      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:52:56      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:53:06      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:53:17      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:53:27      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:53:37      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:53:47      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:53:57      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    25     7
 20200405   14:54:07      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26    13
 20200405   14:54:17      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:54:27      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:54:37      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:54:47      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:54:57      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:55:07      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:55:17      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     8
 20200405   14:55:27      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    10
 20200405   14:55:37      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:55:47      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:55:57      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:56:07      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    14
 20200405   14:56:17      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:56:28      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    31     6
 20200405   14:56:38      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:56:48      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    27     6
 20200405   14:56:58      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    29     6
 20200405   14:57:08      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:57:18      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:57:28      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:57:38      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:57:48      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:57:58      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:58:08      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:58:18      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    28     9
 20200405   14:58:28      0    42    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:58:38      0    41    37    34    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:58:48      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:58:58      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200405   14:59:08      0    42    37    34    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:59:18      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:59:28      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   14:59:39      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:59:49      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   14:59:59      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:00:09      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:00:19      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:00:29      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:00:39      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:00:49      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:00:59      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:01:09      0    41    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:01:19      0    42    37    34    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:01:29      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:01:39      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:01:49      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:01:59      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:02:09      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:02:19      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:02:29      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:02:39      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:02:50      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:03:00      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:03:10      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26    10
 20200405   15:03:20      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    31     6
 20200405   15:03:30      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:03:40      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:03:50      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:04:00      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:04:10      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    28     6
 20200405   15:04:20      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   15:04:30      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:04:40      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:04:50      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:05:00      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:05:10      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:05:20      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:05:30      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26    14
 20200405   15:05:40      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    28    10
 20200405   15:05:50      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    27     6
 20200405   15:06:01      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:06:11      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:06:21      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    28     6
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200405   15:06:31      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    27     6
 20200405   15:06:41      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    28     6
 20200405   15:06:51      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:07:01      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:07:11      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    27     6
 20200405   15:07:21      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:07:31      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:07:41      0    42    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:07:51      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:01      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:11      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:21      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:31      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:41      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:08:51      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:09:01      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:09:12      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:09:22      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    29     7
 20200405   15:09:32      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:09:42      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:09:52      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:10:02      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:10:12      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:10:22      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     8
 20200405   15:10:32      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:10:42      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:10:52      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    25    13
 20200405   15:11:02      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   15:11:12      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:11:22      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26    11
 20200405   15:11:32      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    12
 20200405   15:11:42      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    28    10
 20200405   15:11:52      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26    14
 20200405   15:12:02      0    41    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:12:12      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:12:23      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:12:33      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:12:43      0    42    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    28     6
 20200405   15:12:53      0    42    37    35    76     0     0     0   877  1380     0     0  2141     8     0     0     0    30     6
 20200405   15:13:03      0    41    37    35    77     0     0     0   877  1380     0     0  2141     8     0     0     0    25     6
 20200405   15:13:13      0    41    37    35    79     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:13:23      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:13:33      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
 20200405   15:13:43      0    42    37    35    78     0     0     0   877  1380     0     0  2141     8     0     0     0    26     6
