#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200402   16:41:33      3    26    33    31     0     0     0     0   877   135     0     0   132     4     0     0     0     0     0
 20200402   16:41:43      3    26    33    31     0     0     0     0   877   135     0     0   132     4     0     0     0     0     0
 20200402   16:41:54      3    41    34    31    76     0     0     0   877  1380   100     0  2257     8     0     0     0    26     6
 20200402   16:42:04      3    42    35    32    78     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:42:14      3    42    35    32    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:42:24      3    42    35    32    77     0     0     0   877  1380     0     0  2257     8     0     0     0    27    11
 20200402   16:42:34      3    42    36    32    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:42:44      3    42    36    33    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:42:54      3    42    36    33    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:43:04      3    42    36    33    76     0     0     0   877  1380     0     0  2257     8     0     0     0    28     8
 20200402   16:43:14      3    42    36    33    77     0     0     0   877  1380     0     0  2257     8     0     0     0    30     6
 20200402   16:43:24      3    42    36    33    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:43:34      3    42    36    33    76     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:43:44      3    42    36    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:43:54      3    42    37    33    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26    13
 20200402   16:44:04      3    42    37    33    77     0     0     0   877  1380     0     0  2257     8     0     0     0    30     6
 20200402   16:44:14      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25    13
 20200402   16:44:24      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26    12
 20200402   16:44:35      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    29     6
 20200402   16:44:45      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    27     9
 20200402   16:44:55      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    29     6
 20200402   16:45:05      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:45:15      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:45:25      3    42    37    34    78     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:45:35      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:45:45      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:45:55      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:46:05      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:46:15      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:46:25      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:46:35      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:46:45      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    29     6
 20200402   16:46:55      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26    12
 20200402   16:47:05      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:47:16      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:47:26      3    42    37    34    78     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:47:36      3    42    37    34    78     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:47:46      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:47:56      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:48:06      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25    13
 20200402   16:48:16      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:48:26      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:48:36      3    42    37    34    76     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:48:46      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20200402   16:48:56      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:49:06      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:49:16      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:49:26      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:49:36      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:49:46      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    29     6
 20200402   16:49:56      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26    12
 20200402   16:50:07      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:50:17      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
 20200402   16:50:27      3    42    37    34    77     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:50:37      3    42    37    34    78     0     0     0   877  1380     0     0  2257     8     0     0     0    26     6
 20200402   16:50:47      3    42    37    34    78     0     0     0   877  1380     0     0  2257     8     0     0     0    25     6
