#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200404   08:24:01      0          -     -     -     -     -     -     -   -              
 20200404   08:24:11      0          -     -     -     -     -     -     -   -              
 20200404   08:24:21      0      31880     C  2125    62     0     0     0   check.exe      
 20200404   08:24:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:24:41      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:24:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:25:01      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:25:11      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:25:21      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:25:31      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:25:41      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:25:51      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:26:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:26:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:26:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:26:31      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:26:41      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:26:51      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:27:01      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:27:11      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:27:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:27:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:27:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:27:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:28:01      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:28:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:28:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:28:31      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:28:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:28:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:29:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:30:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:30:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:30:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:30:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:30:41      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:30:51      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:31:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:31:11      0      31880     C  2125    77     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200404   08:31:21      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:31:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:31:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:31:51      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:32:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:32:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:32:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:32:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:32:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:32:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:11      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:21      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:31      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:41      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:33:51      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:34:01      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:34:11      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:34:22      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:34:32      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:34:42      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:34:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:35:02      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:35:12      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:35:22      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:35:32      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:35:42      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:35:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:36:02      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:36:12      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:36:22      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:36:32      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:36:42      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:36:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:37:02      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:37:12      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:37:22      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:37:32      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:37:42      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:37:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:38:02      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:38:12      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:38:22      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:38:32      0      31880     C  2125    76     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200404   08:38:42      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:38:52      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:39:02      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:39:12      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:39:22      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:39:32      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:39:42      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:39:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:40:02      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:40:12      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:40:22      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:40:32      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:40:42      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:40:52      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:41:02      0      31880     C  2125    76     0     0     0   check.exe      
 20200404   08:41:12      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:41:22      0      31880     C  2125    77     0     0     0   check.exe      
 20200404   08:41:32      0      31880     C  2125    77     0     0     0   check.exe      
