#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200402   13:49:57      3          -     -     -     -     -     -     -   -              
 20200402   13:50:07      3          -     -     -     -     -     -     -   -              
 20200402   13:50:17      3       8229     C  2403    13     0     0     0   check.exe      
 20200402   13:50:27      3       8229     C  2413    30     0     0     0   check.exe      
 20200402   13:50:37      3       8229     C  2413    16     0     0     0   check.exe      
 20200402   13:50:47      3       8229     C  2413    18     0     0     0   check.exe      
 20200402   13:50:57      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:51:07      3       8229     C  2413    14     0     0     0   check.exe      
 20200402   13:51:17      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:51:27      3       8229     C  2413    16     0     0     0   check.exe      
 20200402   13:51:37      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:51:47      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:51:57      3       8229     C  2413    15     0     0     0   check.exe      
 20200402   13:52:07      3       8229     C  2413    18     0     0     0   check.exe      
 20200402   13:52:17      3       8229     C  2413    19     0     0     0   check.exe      
 20200402   13:52:27      3       8229     C  2413    15     0     0     0   check.exe      
 20200402   13:52:37      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:52:47      3       8229     C  2413    18     0     0     0   check.exe      
 20200402   13:52:57      3       8229     C  2413    16     0     0     0   check.exe      
 20200402   13:53:07      3       8229     C  2413    18     0     0     0   check.exe      
 20200402   13:53:17      3       8229     C  2413    15     0     0     0   check.exe      
 20200402   13:53:27      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:53:37      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:53:47      3       8229     C  2413    16     0     0     0   check.exe      
 20200402   13:53:57      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:54:07      3       8229     C  2413    17     0     0     0   check.exe      
 20200402   13:54:17      3       8229     C  2413    15     0     0     0   check.exe      
 20200402   13:54:27      3       9397     C  2403    17     0     0     0   check.exe      
 20200402   13:54:37      3       9397     C  2413    20     0     0     0   check.exe      
 20200402   13:54:47      3       9397     C  2413    27     0     0     0   check.exe      
 20200402   13:54:57      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:55:07      3       9397     C  2413    15     0     0     0   check.exe      
 20200402   13:55:17      3       9397     C  2413    18     0     0     0   check.exe      
 20200402   13:55:27      3       9397     C  2413    19     0     0     0   check.exe      
 20200402   13:55:37      3       9397     C  2413    14     0     0     0   check.exe      
 20200402   13:55:47      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:55:57      3       9397     C  2413    15     0     0     0   check.exe      
 20200402   13:56:07      3       9397     C  2413    18     0     0     0   check.exe      
 20200402   13:56:17      3       9397     C  2413    18     0     0     0   check.exe      
 20200402   13:56:27      3       9397     C  2413    15     0     0     0   check.exe      
 20200402   13:56:37      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:56:47      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:56:57      3       9397     C  2413    16     0     0     0   check.exe      
 20200402   13:57:07      3       9397     C  2413    18     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200402   13:57:17      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:57:27      3       9397     C  2413    14     0     0     0   check.exe      
 20200402   13:57:37      3       9397     C  2413    18     0     0     0   check.exe      
 20200402   13:57:47      3       9397     C  2413    16     0     0     0   check.exe      
 20200402   13:57:57      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:58:07      3       9397     C  2413    17     0     0     0   check.exe      
 20200402   13:58:17      3       9397     C  2413    15     0     0     0   check.exe      
 20200402   13:58:27      3       9397     C  2413    18     0     0     0   check.exe      
 20200402   13:58:37      3       9483     C  2403    18     0     0     0   check.exe      
 20200402   13:58:47      3       9483     C  2403    15     0     0     0   check.exe      
 20200402   13:58:57      3       9483     C  2413    27     0     0     0   check.exe      
 20200402   13:59:07      3       9483     C  2413    15     0     0     0   check.exe      
 20200402   13:59:17      3       9483     C  2413    18     0     0     0   check.exe      
 20200402   13:59:27      3       9483     C  2413    18     0     0     0   check.exe      
 20200402   13:59:37      3       9483     C  2413    15     0     0     0   check.exe      
 20200402   13:59:47      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   13:59:57      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:00:07      3       9483     C  2413    16     0     0     0   check.exe      
 20200402   14:00:17      3       9483     C  2413    18     0     0     0   check.exe      
 20200402   14:00:27      3       9483     C  2413    16     0     0     0   check.exe      
 20200402   14:00:37      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:00:47      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:00:57      3       9483     C  2413    16     0     0     0   check.exe      
 20200402   14:01:07      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:01:17      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:01:27      3       9483     C  2413    15     0     0     0   check.exe      
 20200402   14:01:37      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:01:47      3       9483     C  2413    19     0     0     0   check.exe      
 20200402   14:01:57      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:02:07      3       9483     C  2413    17     0     0     0   check.exe      
 20200402   14:02:17      3       9483     C  2413    15     0     0     0   check.exe      
 20200402   14:02:27      3       9483     C  2413    18     0     0     0   check.exe      
 20200402   14:02:37      3       9483     C  2413    18     0     0     0   check.exe      
 20200402   14:02:47      3       9483     C  2413    15     0     0     0   check.exe      
 20200402   14:02:57      3      13364     C  2403    16     0     0     0   check.exe      
 20200402   14:03:07      3      13364     C  2413    26     0     0     0   check.exe      
 20200402   14:03:17      3      13364     C  2413    22     0     0     0   check.exe      
 20200402   14:03:27      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:03:37      3      13364     C  2413    15     0     0     0   check.exe      
 20200402   14:03:47      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:03:57      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:04:07      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:04:17      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:04:27      3      13364     C  2413    17     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200402   14:04:37      3      13364     C  2413    14     0     0     0   check.exe      
 20200402   14:04:47      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:04:57      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:05:07      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:05:17      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:05:27      3      13364     C  2413    15     0     0     0   check.exe      
 20200402   14:05:37      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:05:47      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:05:57      3      13364     C  2413    14     0     0     0   check.exe      
 20200402   14:06:07      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:06:17      3      13364     C  2413    15     0     0     0   check.exe      
 20200402   14:06:27      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:06:37      3      13364     C  2413    17     0     0     0   check.exe      
 20200402   14:06:47      3      13364     C  2413    14     0     0     0   check.exe      
 20200402   14:06:57      3      13364     C  2413    16     0     0     0   check.exe      
 20200402   14:07:07      3      13481     C  2403    16     0     0     0   check.exe      
 20200402   14:07:17      3      13481     C  2403    16     0     0     0   check.exe      
 20200402   14:07:27      3      13481     C  2413    26     0     0     0   check.exe      
 20200402   14:07:37      3      13481     C  2413    14     0     0     0   check.exe      
 20200402   14:07:47      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:07:57      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:08:07      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:08:17      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:08:27      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:08:38      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:08:48      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:08:58      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:09:08      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:09:18      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:09:28      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:09:38      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:09:48      3      13481     C  2413    18     0     0     0   check.exe      
 20200402   14:09:58      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:10:08      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:10:18      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:10:28      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:10:38      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:10:48      3      13481     C  2413    15     0     0     0   check.exe      
 20200402   14:10:58      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:11:08      3      13481     C  2413    17     0     0     0   check.exe      
 20200402   14:11:18      3      13481     C  2413    16     0     0     0   check.exe      
 20200402   14:11:28      3      13568     C  2403    17     0     0     0   check.exe      
 20200402   14:11:38      3      13568     C  2413    27     0     0     0   check.exe      
 20200402   14:11:48      3      13568     C  2413    14     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200402   14:11:58      3      13568     C  2413    17     0     0     0   check.exe      
 20200402   14:12:08      3      13568     C  2413    16     0     0     0   check.exe      
 20200402   14:12:18      3      13568     C  2413    17     0     0     0   check.exe      
 20200402   14:12:28      3      13568     C  2413    16     0     0     0   check.exe      
 20200402   14:12:38      3      13568     C  2413    15     0     0     0   check.exe      
 20200402   14:12:48      3      13568     C  2413    17     0     0     0   check.exe      
 20200402   14:12:58      3      13568     C  2413    18     0     0     0   check.exe      
 20200402   14:13:08      3      13568     C  2413    15     0     0     0   check.exe      
