#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200405   14:58:57      0      31684     C  2125    76     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200405   14:59:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   14:59:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   14:59:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   14:59:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   14:59:47      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   14:59:57      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:00:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:00:17      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:00:27      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:00:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:00:47      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:00:57      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:01:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:01:17      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:01:27      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:01:37      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:01:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:01:57      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:02:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:02:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:02:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:02:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:02:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:02:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:03:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:03:17      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:03:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:03:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:03:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:03:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:04:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:04:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:04:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:04:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:04:47      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:04:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:05:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:05:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:05:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:05:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:05:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:05:57      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:06:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:06:17      0      31684     C  2125    77     0     0     0   check.exe      
#Date       Time        gpu        pid  type    fb    sm   mem   enc   dec   command
#YYYYMMDD   HH:MM:SS    Idx          #   C/G    MB     %     %     %     %   name
 20200405   15:06:27      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:06:37      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:06:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:06:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:07:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:07:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:07:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:07:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:07:47      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:07:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:08:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:08:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:08:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:08:37      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:08:47      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:08:57      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:09:07      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:09:17      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:09:27      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:09:37      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:09:47      0      31684     C  2125    76     0     0     0   check.exe      
 20200405   15:09:57      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:10:07      0      31684     C  2125    77     0     0     0   check.exe      
 20200405   15:10:17      0      31684     C  2125    75     0     0     0   check.exe      
