  1    1
  2   -1
  3    1
  4    1
  5    1
  6    1
  7   -4
  8   -5
  9   -6
 10   -4
 11   -5
 12   -4
 13   -5
 14    1
 15  -14
 16    1
 17  -16
 18    1
 19    1
 20    1
 21    1
 22  -19
 23  -20
 24  -21
 25    1
 26    1
 27  -25
 28  -26
 29    1
 30    1
 31  -16
 32  -16
 33  -18
 34  -19
 35  -20
 36  -21
 37  -19
 38  -20
 39  -21
 40  -25
 41  -26
 42  -25
 43  -26
 44  -29
 45  -30
 46    1
 47    1
 48    1
 49  -46
 50  -47
 51  -48
 52    1
 53  -52
 54    1
 55    1
 56    1
 57    1
 58    1
 59  -57
 60  -58
 61  -46
 62  -47
 63  -48
 64  -46
 65  -47
 66  -48
 67  -52
 68  -52
 69  -54
 70  -55
 71  -56
 72  -57
 73  -58
 74  -57
 75  -58
 76    1
 77    1
 78  -76
 79  -77
 80    1
 81    1
 82  -76
 83  -77
 84  -76
 85  -77
 86  -80
 87  -81
 88    1
 89    1
 90    1
 91    1
 92  -90
 93  -91
 94  -88
 95  -89
 96  -90
 97  -91
 98  -90
 99  -91
100    1
101    1
102    1
103 -102
104 -102
105 -102
