 1   1
 2   1
 3   1
 4   1
 5   1
 6   1
 7   1
 8   1
 9   1
10   1
11   1
12   1
13   1
14   1
15   1
16   1
17   1
18   1
19   1
20   1
21   1
22   1
23 -22
24 -21
25   1
26   1
27 -26
28 -25
29 -18
30 -17
31 -20
32 -19
33   1
34   1
35   1
36   1
37   1
38   1
39 -38
40 -37
41   1
42   1
43 -42
44 -41
45 -34
46 -33
47 -36
48 -35
49 -10
50  -9
51 -12
52 -11
53 -14
54 -13
55 -16
56 -15
57  -2
58  -1
59  -4
60  -3
61  -6
62  -5
63  -8
64  -7
65   1
66   1
67   1
68   1
69   1
70   1
71   1
72   1
73   1
74   1
75   1
76   1
77   1
78   1
79   1
80   1
81 -66
82 -65
83 -67
84 -68
85 -70
86 -69
87 -71
88 -72
89 -74
90 -73
91 -75
92 -76
93 -78
94 -77
95 -79
96 -80
